ID,Pred
2019_1101_1113,0.20591613480185367
2019_1101_1120,0.06352086729921202
2019_1101_1124,0.1341676105389823
2019_1101_1125,0.2496059042815868
2019_1101_1133,0.4586385578219567
2019_1101_1138,0.07433820995678275
2019_1101_1153,0.07106346037687172
2019_1101_1159,0.4539986582327966
2019_1101_1181,0.03277563757248203
2019_1101_1192,0.6097148146440312
2019_1101_1196,0.08104703788511469
2019_1101_1199,0.05529204996969783
2019_1101_1205,0.544011371487841
2019_1101_1209,0.36242318558212017
2019_1101_1211,0.018532855220191657
2019_1101_1222,0.041832051746362064
2019_1101_1233,0.5835182553164566
2019_1101_1234,0.18105894087632168
2019_1101_1235,0.05391081649314666
2019_1101_1242,0.056574268361597735
2019_1101_1243,0.06763088281174179
2019_1101_1246,0.032680705055956105
2019_1101_1261,0.07782313802902241
2019_1101_1251,0.22753190590138495
2019_1101_1257,0.060291218237311095
2019_1101_1266,0.08074878036013111
2019_1101_1268,0.0622956886371272
2019_1101_1276,0.04274600707002474
2019_1101_1277,0.02957897785374841
2019_1101_1278,0.11874513586295621
2019_1101_1280,0.06278622727887817
2019_1101_1285,0.42749594734133567
2019_1101_1293,0.20372077225310314
2019_1101_1297,0.3622519442168213
2019_1101_1308,0.20551717278398518
2019_1101_1300,0.6744846776352085
2019_1101_1305,0.05996147404193852
2019_1101_1314,0.032986397602365436
2019_1101_1295,0.5881555001331604
2019_1101_1318,0.32119987922676496
2019_1101_1326,0.12260793318511509
2019_1101_1328,0.0986376357847154
2019_1101_1330,0.3030615255397936
2019_1101_1279,0.11884752085999528
2019_1101_1332,0.1255854925186115
2019_1101_1341,0.5626361760241299
2019_1101_1345,0.02548687332482813
2019_1101_1387,0.28863761807030075
2019_1101_1388,0.11436356241226253
2019_1101_1371,0.14104047924047602
2019_1101_1385,0.24908110459810673
2019_1101_1393,0.08642751111593461
2019_1101_1396,0.22172675366089867
2019_1101_1397,0.024798253792424285
2019_1101_1403,0.05757405397806359
2019_1101_1414,0.23071466358678272
2019_1101_1416,0.10716988325981269
2019_1101_1429,0.11762187166844784
2019_1101_1433,0.12431910921865796
2019_1101_1439,0.032919869144183767
2019_1101_1436,0.2558909216682438
2019_1101_1437,0.07922831636164018
2019_1101_1438,0.02207861273716505
2019_1101_1449,0.12783758807503043
2019_1101_1458,0.056245631160118714
2019_1101_1459,0.09329742244413564
2019_1101_1463,0.3474795295259817
2019_1113_1120,0.21924161254704044
2019_1113_1124,0.40819275008109346
2019_1113_1125,0.5142714331284692
2019_1113_1133,0.7588837855123688
2019_1113_1138,0.2805818386862037
2019_1113_1153,0.31766546545014895
2019_1113_1159,0.7137521282632782
2019_1113_1181,0.09870770352547131
2019_1113_1192,0.8220521349378132
2019_1113_1196,0.2619884179787144
2019_1113_1199,0.22696059290722048
2019_1113_1205,0.7878115216948238
2019_1113_1209,0.6910234681971498
2019_1113_1211,0.04778795137972691
2019_1113_1222,0.21425415951639426
2019_1113_1233,0.8049401338784294
