ID,Pred
2019_1101_1113,0.2586751128512884
2019_1101_1120,0.1496413251208768
2019_1101_1124,0.2194262936122835
2019_1101_1125,0.31035858693657703
2019_1101_1133,0.44868777002013205
2019_1101_1138,0.13497025789956751
2019_1101_1153,0.12525764373770643
2019_1101_1159,0.46067560608038216
2019_1101_1181,0.10076461465249698
2019_1101_1192,0.5806490253839893
2019_1101_1196,0.14621825059792037
2019_1101_1199,0.09755058805046213
2019_1101_1205,0.5249773332251965
2019_1101_1209,0.38339172597602844
2019_1101_1211,0.1111593907116406
2019_1101_1222,0.08429231738167009
2019_1101_1233,0.5573736328672609
2019_1101_1234,0.28874219561542536
2019_1101_1235,0.15343551280329848
2019_1101_1242,0.09840818637291071
2019_1101_1243,0.1075162634067115
2019_1101_1246,0.09591739979838454
2019_1101_1261,0.15621489275115297
2019_1101_1251,0.2811656736169963
2019_1101_1257,0.1305290859891297
2019_1101_1266,0.14409732380002993
2019_1101_1268,0.12288904497337427
2019_1101_1276,0.08760004594445614
2019_1101_1277,0.10862699290695343
2019_1101_1278,0.18218125265732277
2019_1101_1280,0.14259214193233505
2019_1101_1285,0.43558523115213377
2019_1101_1293,0.26660376825960996
2019_1101_1297,0.38878511318708553
2019_1101_1308,0.27014288967366007
2019_1101_1300,0.6236145612410846
2019_1101_1305,0.1281273401131522
2019_1101_1314,0.10457113967741494
2019_1101_1295,0.5554553348682083
2019_1101_1318,0.3572629279736189
2019_1101_1326,0.19174546417924587
2019_1101_1328,0.1590153517167341
2019_1101_1330,0.33459804517605374
2019_1101_1279,0.19033835189578896
2019_1101_1332,0.19297891512839827
2019_1101_1341,0.5319186873556074
2019_1101_1345,0.10814590029107163
2019_1101_1387,0.324322981825503
2019_1101_1388,0.2050982742028592
2019_1101_1371,0.19529927804998803
2019_1101_1385,0.29958416329425996
2019_1101_1393,0.14584600663665548
2019_1101_1396,0.2666925787141432
2019_1101_1397,0.11108835493175928
2019_1101_1403,0.09476739378505417
2019_1101_1414,0.280733742800763
2019_1101_1416,0.16348497114816896
2019_1101_1429,0.1802796765511696
2019_1101_1433,0.179720300974324
2019_1101_1439,0.10550987158065683
2019_1101_1436,0.2985570089073002
2019_1101_1437,0.17262873041333093
2019_1101_1438,0.09763663751311613
2019_1101_1449,0.184785765688671
2019_1101_1458,0.09956324974738828
2019_1101_1459,0.1865977309649366
2019_1101_1463,0.39130369314962943
2019_1113_1120,0.34029691303651477
2019_1113_1124,0.4436605725403797
2019_1113_1125,0.49071308710243333
2019_1113_1133,0.6264490821490829
2019_1113_1138,0.36023652274588525
2019_1113_1153,0.3817403291640774
2019_1113_1159,0.6385020969084497
